,Title,Anime Rank,Adaptation Type,Episodes,Aired,Anime Votes,Anime Score,Manga Rank,Type,Volumes,Published,Manga Votes,Manga Score
1167,Tokyo Ghoul,935,TV,12,Jul 2014 - Sep 2014,2708236,7.79,8536,One-shot,?,Mar 2011 - Mar 2011,17242,7.0
1169,Tokyo Ghoul,935,TV,12,Jul 2014 - Sep 2014,2708236,7.79,126,Manga,14,Sep 2011 - Sep 2014,477217,8.52
1170,Shining Star,6903,TV,52,Oct 2017 - Dec 2018,913,6.4,17624,Doujinshi,1,1987 - 1987,644,5.73
1171,Slow Loop,2819,TV,12,Jan 2022 - Mar 2022,58879,7.25,3274,Manga,?,Apr 2018 -,1374,7.44
1172,Kotoura-san,3216,TV,12,Jan 2013 - Mar 2013,328988,7.17,8843,Manga,7,Jul 2010 - Mar 2015,3182,6.98
1173,Tensei shitara Ken deshita,1536,TV,12,Oct 2022 - Dec 2022,233947,7.55,2809,Manga,?,Dec 2016 -,29002,7.5
1175,Summer Wars,546,Movie,1,Aug 2009 - Aug 2009,508041,8.03,3650,Novel,1,Jul 2009 - Jul 2009,1238,7.4
1176,Summer Wars,546,Movie,1,Aug 2009 - Aug 2009,508041,8.03,1877,Manga,3,Jul 2009 - May 2010,8201,7.66
1177,Tenjou Tenge,4504,TV,24,Apr 2004 - Sep 2004,184760,6.88,5101,Manga,22,Oct 1997 - Aug 2010,27995,7.26
1179,Otome Game Sekai wa Mob ni Kibishii Sekai desu,2357,TV,12,Apr 2022 - Jun 2022,264336,7.34,1953,Manga,?,Oct 2018 -,29501,7.64
1180,Binbou Shimai Monogatari,4649,TV,10,Jun 2006 - Sep 2006,21119,6.85,6376,Manga,4,Apr 2004 - Oct 2006,1505,7.15
1181,Ayashi no Ceres,3176,TV,24,Apr 2000 - Sep 2000,60799,7.18,2352,Manga,14,Aug 1996 - Jan 2000,14014,7.57
1182,Mai-HiME,1996,TV,26,Oct 2004 - Apr 2005,113418,7.42,10562,Manga,5,Nov 2004 - Jul 2005,7034,6.85
1183,Jigokuraku,365,TV,13,Apr 2023 - Jul 2023,487726,8.19,289,Manga,13,Jan 2018 - Jan 2021,139598,8.3
1184,Shinsekai yori,262,TV,25,Sep 2012 - Mar 2013,757839,8.28,13632,Manga,7,May 2012 - Jun 2014,10276,6.62
1185,Shinsekai yori,262,TV,25,Sep 2012 - Mar 2013,757839,8.28,1378,Novel,2,Jan 2008 - Jan 2008,1041,7.77
1186,Microid S,8141,TV,26,Apr 1973 - Oct 1973,758,6.15,5953,Manga,3,Mar 1973 - Aug 1973,220,7.19
1187,Rokudenashi Blues,9892,Movie,1,Jul 1992 - Jul 1992,2405,5.76,1618,Manga,42,May 1988 - Feb 1997,8858,7.71
1188,Udon no Kuni no Kiniro Kemari,1026,TV,12,Oct 2016 - Dec 2016,130012,7.75,4119,Manga,12,Jun 2012 - Feb 2019,2228,7.35
1189,"Kumo no Mukou, Yakusoku no Basho",1874,Movie,1,Nov 2004 - Nov 2004,212262,7.45,11243,Manga,1,Feb 2006 - Aug 2006,2705,6.81
1191,Love Lab,2503,TV,13,Jul 2013 - Sep 2013,197932,7.31,1639,Manga,15,Oct 2006 - Oct 2019,4926,7.7
1192,Summertime Render,121,TV,25,Apr 2022 - Sep 2022,447017,8.51,405,Manga,13,Oct 2017 - Feb 2021,42117,8.2
1193,"Benriya Saitou-san, Isekai ni Iku",1805,TV,12,Jan 2023 - Mar 2023,130843,7.47,10622,Manga,?,Oct 2018 -,6317,6.85
1194,Hinako Note,5020,TV,12,Apr 2017 - Jun 2017,104153,6.77,9486,Manga,7,Aug 2014 - Jan 2021,1827,6.93
1195,SKET Dance,336,TV,77,Apr 2011 - Sep 2012,219978,8.21,4378,One-shot,?,Aug 2006 - Aug 2006,2436,7.32
1196,SKET Dance,336,TV,77,Apr 2011 - Sep 2012,219978,8.21,227,Manga,32,Jul 2007 - Jul 2013,31354,8.37
1197,Yotsunoha,7457,OVA,2,Feb 2008 - Mar 2008,11537,6.3,14987,Manga,1,Jan 2008 - Jul 2008,676,6.49
1198,Koufuku Graffiti,4896,TV,12,Jan 2015 - Mar 2015,78423,6.79,10014,Manga,7,Jan 2012 - Sep 2016,1514,6.89
1199,Kochira Katsushikaku Kameari Kouenmae Hashutsujo,950,TV,373,Jun 1996 - Dec 2004,17716,7.78,2436,Manga,200,Sep 1976 - Sep 2016,2791,7.56
1200,Midori no Hibi,2908,TV,13,Apr 2004 - Jun 2004,163631,7.23,1361,Manga,8,Sep 2002 - Jul 2004,21035,7.77
1201,Tari Tari,2611,TV,13,Jul 2012 - Sep 2012,158636,7.29,3531,Manga,2,May 2012 - Oct 2012,1852,7.41
1202,Dragon Ball Super,1968,TV,131,Jul 2015 - Mar 2018,790423,7.43,4906,Manga,?,Jun 2015 -,62579,7.28
1203,Kamisama Dolls,4046,TV,13,Jul 2011 - Sep 2011,71437,7.0,7325,Manga,12,Dec 2006 - Feb 2013,3296,7.08
1204,Blue Giant,2199,Movie,1,Feb 2023 - Feb 2023,11093,7.37,176,Manga,10,May 2013 - Aug 2016,16307,8.44
1205,Konohana Kitan,1761,TV,12,Oct 2017 - Dec 2017,149418,7.49,2181,Manga,?,Dec 2014 -,2712,7.6
1206,Chinpui,6328,TV,56,Feb 1989 - Apr 1991,1520,6.51,2425,Manga,4,Jun 1985 - Feb 1991,275,7.56
1207,Tejina-senpai,6830,TV,12,Jul 2019 - Sep 2019,266353,6.41,13866,Manga,8,Feb 2016 - Feb 2021,14259,6.59
1208,Hirune Hime: Shiranai Watashi no Monogatari,4679,Movie,1,Mar 2017 - Mar 2017,38789,6.84,14021,Manga,2,Feb 2017 - Dec 2017,957,6.58
1209,Burn the Witch,3498,Movie,3,Oct 2020 - Oct 2020,221630,7.11,9909,Manga,1,Aug 2020 - Sep 2020,19647,6.9
1210,Burn the Witch,3498,Movie,3,Oct 2020 - Oct 2020,221630,7.11,11935,One-shot,?,Jul 2018 - Jul 2018,20818,6.75
1211,Nagasarete Airantou,2969,TV,26,Apr 2007 - Sep 2007,100258,7.22,2358,Manga,?,Dec 2001 -,8691,7.57
1212,Akira,395,Movie,1,Jul 1988 - Jul 1988,808217,8.16,54,Manga,6,Dec 1982 - Jun 1990,124509,8.68
1213,OZ,11376,OVA,2,Aug 1992 - Sep 1992,1973,5.32,3981,Manga,6,Sep 2008 - Jan 2011,1780,7.36
1214,5-toubun no Hanayome,1240,TV,12,Jan 2019 - Mar 2019,895433,7.66,844,Manga,14,Aug 2017 - Feb 2020,161188,7.94
1215,Darwin's Game,2880,TV,11,Jan 2020 - Mar 2020,528012,7.23,2119,Manga,?,Dec 2012 -,46992,7.61
1216,Omoi no Kakera,6510,Special,1,Mar 2016 - Mar 2016,6230,6.48,4523,Manga,3,Oct 2009 - Jun 2014,4683,7.31
1217,Kokoro Connect,1016,TV,13,Jul 2012 - Sep 2012,810726,7.75,2643,Manga,5,Oct 2010 - Aug 2013,8977,7.52
1219,Semantic Error,3705,ONA,4,Mar 2021 - Apr 2021,4974,7.07,762,Manhwa,?,Jul 2020 -,3996,7.98
1220,Hi no Tori,3488,TV,13,Mar 2004 - Jun 2004,9534,7.12,7434,Manga,1,May 1956 - Dec 1957,1132,7.07
1221,One Piece,55,TV,?,Oct 1999 -,2182691,8.69,4,Manga,?,Jul 1997 -,573384,9.22
1222,Tokyo Ghoul:re,7069,TV,12,Apr 2018 - Jun 2018,1127130,6.37,335,Manga,16,Oct 2014 - Jul 2018,270620,8.27
1223,Inuyashiki,1287,TV,11,Oct 2017 - Dec 2017,620537,7.64,2257,Manga,10,Jan 2014 - Jul 2017,57102,7.59
1224,Isuca,8980,TV,10,Jan 2015 - Mar 2015,144663,5.98,12086,Manga,9,Jul 2009 - Apr 2017,7519,6.74
1225,Sugar*Soldier,9842,Special,3,Jan 2014 - Jan 2014,11273,5.77,3416,Manga,10,Aug 2011 - Jun 2015,8976,7.42
1226,Gekkan Shoujo Nozaki-kun,862,TV,12,Jul 2014 - Sep 2014,898589,7.83,175,Manga,?,Aug 2011 -,77611,8.44
1227,Spriggan,5503,Movie,1,Sep 1998 - Sep 1998,33151,6.67,6613,Manga,11,Feb 1989 - Jan 1996,3523,7.13
1228,Shonan Junai Gumi!,1994,OVA,5,Jan 1994 - Jan 1997,43781,7.43,374,Manga,31,Sep 1990 - Sep 1996,20373,8.23
1229,Suisei no Gargantia,1884,TV,13,Apr 2013 - Jun 2013,328918,7.45,6471,Manga,3,Jan 2013 - Jan 2014,2621,7.15
1230,Kanokon,7019,TV,12,Apr 2008 - Jun 2008,244440,6.38,7746,Manga,9,Aug 2006 - Aug 2010,10508,7.05
1232,Prison School,1379,TV,12,Jul 2015 - Sep 2015,974470,7.61,2849,Manga,28,Feb 2011 - Dec 2017,130947,7.5
1233,Princess Lover!,5416,TV,12,Jul 2009 - Sep 2009,221949,6.69,14392,Manga,1,Aug 2009 - Aug 2009,1104,6.55
1234,Gosick,535,TV,24,Jan 2011 - Jul 2011,529286,8.05,1895,Manga,8,Dec 2007 - Apr 2012,5353,7.65
1236,Kimi wa Houkago Insomnia,480,TV,13,Apr 2023 - Jul 2023,150034,8.08,109,Manga,?,May 2019 -,36829,8.55
1237,Dr. Rin ni Kiitemite!,5152,TV,51,Mar 2001 - Feb 2002,4515,6.74,7009,Manga,8,Jul 1999 - May 2003,634,7.1
1238,Paradise Kiss,833,TV,12,Oct 2005 - Dec 2005,215124,7.85,293,Manga,5,Mar 1999 - Mar 2003,48818,8.3
1239,Kidou Senshi Gundam: The Origin,215,OVA,6,Feb 2015 - May 2018,69908,8.33,114,Manga,24,Jun 2001 - Jun 2014,14166,8.54
1240,Knight's & Magic,3647,TV,13,Jul 2017 - Sep 2017,250106,7.08,4629,Manga,17,Apr 2016 - Mar 2022,6880,7.3
1242,Isekai wa Smartphone to Tomo ni.,8137,TV,12,Jul 2017 - Sep 2017,532946,6.15,10002,Manga,?,Nov 2016 -,10738,6.89
1244,Highschool of the Dead,3683,TV,12,Jul 2010 - Sep 2010,1456200,7.07,2356,Manga,7,Aug 2006 - Apr 2013,87295,7.57
1245,Makai Senki Disgaea,5323,TV,12,Apr 2006 - Jun 2006,43357,6.71,7501,Manga,1,Feb 2003 - Oct 2003,2700,7.07
1246,Rescue Me!,9824,OVA,1,Jun 2013 - Jun 2013,31518,5.78,14719,Manga,4,Aug 2008 - Aug 2014,3135,6.52
1248,Youjo Senki,642,TV,12,Jan 2017 - Mar 2017,872065,7.96,270,Manga,?,Apr 2016 -,25185,8.33
1250,Kami-tachi ni Hirowareta Otoko,4102,TV,12,Oct 2020 - Dec 2020,195102,6.98,4464,Manga,?,Nov 2017 -,13791,7.32
1251,Mind Game,953,Movie,1,Aug 2004 - Aug 2004,82379,7.78,3392,Manga,3,1994 - 1996,1705,7.43
1252,Mind Game,953,Movie,1,Aug 2004 - Aug 2004,82379,7.78,15713,Manga,2,-,548,6.41
1253,High School! Kimengumi,2442,TV,86,Oct 1985 - Oct 1987,3926,7.32,2682,Manga,20,Apr 1982 - Jun 1987,521,7.52
1254,7 Seeds,6045,ONA,12,Jun 2019 - Jun 2019,128623,6.56,393,Manga,35,Oct 2001 - May 2017,21581,8.21
1255,Yume-iro Pâtissière,845,TV,50,Oct 2009 - Sep 2010,79395,7.84,1259,Manga,12,Sep 2008 - Aug 2013,6427,7.8
1256,Muv-Luv Alternative,9712,TV,12,Oct 2021 - Dec 2021,38686,5.8,2180,Manga,17,Aug 2007 - Apr 2017,3952,7.6
1257,Fate/kaleid liner Prisma☆Illya 2wei!,2946,TV,10,Jul 2014 - Sep 2014,159057,7.22,3561,Manga,5,Apr 2009 - Mar 2012,8336,7.41
1258,Kaitou Joker,4283,TV,13,Oct 2014 - Jan 2015,14061,6.93,10409,Manga,26,Feb 2007 - Jul 2017,469,6.87
1259,Edomae Elf,2578,TV,12,Apr 2023 - Jun 2023,43573,7.29,7577,Manga,?,Jun 2019 -,1882,7.07
1260,Ao Haru Ride,1277,TV,12,Jul 2014 - Sep 2014,890379,7.64,486,Manga,13,Jan 2011 - Feb 2015,180195,8.14
1262,Hirano to Kagiura,5250,Movie,1,Feb 2023 - Feb 2023,20496,6.72,190,Manga,?,Mar 2019 -,7688,8.41
1264,Majuu Sensen,10053,OVA,3,Oct 1990 - Oct 1990,1558,5.72,12019,Manga,4,Aug 1975 - Sep 1976,372,6.74
1265,Mononogatari,2984,TV,12,Jan 2023 - Mar 2023,47825,7.21,5832,Manga,16,Apr 2014 - Jun 2023,2348,7.2
1266,Erementar Gerad,2797,TV,26,Apr 2005 - Sep 2005,93947,7.25,2945,Manga,18,Feb 2002 - Dec 2009,9047,7.48
1267,Gokukoku no Brynhildr,4591,TV,13,Apr 2014 - Jun 2014,329349,6.86,4871,Manga,18,Jan 2012 - Mar 2016,33101,7.28
1268,Caramel Honey,4953,ONA,30,Jun 2018 - Aug 2018,14623,6.78,6730,Manga,1,Nov 2015 - Feb 2016,4794,7.13
1269,Otome wa Boku ni Koishiteru,3873,TV,12,Oct 2006 - Dec 2006,62410,7.03,9805,Manga,2,Sep 2006 - Jun 2008,2343,6.91
1270,Honoo no Tenkousei,5911,OVA,2,May 1991 - May 1991,6878,6.59,4121,Manga,12,Jul 1983 - Nov 1985,1936,7.35
1271,Katte ni Kaizou,4547,OVA,6,May 2011 - Oct 2011,29302,6.87,3886,Manga,26,Apr 1998 - Jul 2004,3054,7.37
1272,Souten Kouro,2918,TV,26,Apr 2009 - Sep 2009,18578,7.23,6350,Manga,36,Oct 1994 - Nov 2005,1244,7.16
1273,Yuu☆Yuu☆Hakusho,141,TV,112,Oct 1992 - Jan 1995,656549,8.46,409,Manga,19,Nov 1990 - Jul 1994,65587,8.2
1274,Yofukashi no Uta,587,TV,13,Jul 2022 - Sep 2022,516766,8.0,483,Manga,?,Aug 2019 -,75542,8.15
1275,Azur Lane: Bisoku Zenshin!,3915,TV,12,Jan 2021 - Mar 2021,48295,7.02,4466,Manga,?,Apr 2018 -,1751,7.32
1276,Oshiete! Galko-chan,3871,TV,12,Jan 2016 - Mar 2016,175604,7.03,3230,Manga,5,Jun 2014 - Jun 2021,6304,7.45
1277,Gamers!,5078,TV,12,Jul 2017 - Sep 2017,629950,6.76,10937,Manga,7,Oct 2016 - Jul 2019,5088,6.83
1279,Mushibugyou,2524,TV,26,Apr 2013 - Sep 2013,89153,7.3,8456,Manga,3,Aug 2009 - Sep 2010,2321,7.01
1281,Densetsu no Yuusha no Densetsu,1653,TV,24,Jul 2010 - Dec 2010,292689,7.52,4373,Manga,9,Jul 2008 - Apr 2012,3855,7.32
1282,Shin Chuuka Ichiban!,6881,TV,12,Oct 2019 - Dec 2019,11383,6.41,5788,Manga,12,Dec 1996 - Apr 1999,449,7.2
1283,Kaitou Saint Tail,1510,TV,43,Oct 1995 - Sep 1996,19947,7.56,3877,Manga,7,Sep 1994 - Feb 1997,2341,7.37
1284,xxxHOLiC,619,TV,24,Apr 2006 - Sep 2006,310178,7.98,226,Manga,19,Feb 2003 - Feb 2011,80000,8.37
