,Title,Anime Rank,Adaptation Type,Episodes,Aired,Anime Votes,Anime Score,Manga Rank,Type,Volumes,Published,Manga Votes,Manga Score
0,Net-juu no Susume,1568,TV,10,Oct 2017 - Dec 2017,450968,7.55,4230,Manga,?,Oct 2013 - Jul 2015,5893,7.34
1,s.CRY.ed,2248,TV,26,Jul 2001 - Dec 2001,81283,7.36,11502,Manga,5,May 2001 - Apr 2002,2106,6.78
2,Banana Fish,133,TV,24,Jul 2018 - Dec 2018,814329,8.48,74,Manga,19,Apr 1985 - Mar 1994,52440,8.63
3,Romantic Killer,524,ONA,12,Oct 2022 - Oct 2022,159661,8.06,5801,Manga,4,Jul 2019 - Jun 2020,4953,7.2
4,Keijo!!!!!!!!,4285,TV,12,Oct 2016 - Dec 2016,389224,6.93,4532,Manga,18,Jul 2013 - Apr 2017,12689,7.31
5,Toaru Majutsu no Index,2257,TV,24,Oct 2008 - Mar 2009,791235,7.36,1407,Manga,?,Apr 2007 -,15235,7.76
7,Kobato.,651,TV,24,Oct 2009 - Mar 2010,163055,7.95,850,Manga,6,Dec 2004 - Jul 2011,20642,7.94
8,Muhyo to Rouji no Mahouritsu Soudan Jimusho,5328,TV,12,Aug 2018 - Oct 2018,51328,6.71,2768,Manga,18,Nov 2004 - Mar 2008,4769,7.51
9,Children,9443,ONA,1,Jun 2011 - Jun 2011,3011,5.87,17619,Manga,2,Oct 2017 - Mar 2019,8881,5.73
10,"Kono Healer, Mendokusai",7176,TV,12,Apr 2022 - Jun 2022,53570,6.35,8337,Manga,?,Jul 2019 -,3390,7.01
11,Mayonaka no Occult Koumuin,5190,TV,12,Apr 2019 - Jun 2019,63703,6.73,7564,Manga,17,May 2015 - Feb 2022,1041,7.07
12,Boku no Hero Academia,743,TV,13,Apr 2016 - Jun 2016,2893115,7.89,575,Manga,?,Jul 2014 -,422550,8.1
13,Mirai Nikki: Redial,2523,OVA,1,Jun 2013 - Jun 2013,346771,7.3,7170,Manga,1,Mar 2013 - Jul 2013,10153,7.09
14,Ganbare Douki-chan,6153,ONA,12,Sep 2021 - Dec 2021,102045,6.54,8318,Manga,?,May 2020 -,6011,7.02
15,Soredemo Machi wa Mawatteiru,1943,TV,12,Oct 2010 - Dec 2010,61489,7.44,465,Manga,16,Mar 2005 - Oct 2016,8459,8.16
16,Murenase! Seton Gakuen,4221,TV,12,Jan 2020 - Mar 2020,191747,6.95,6727,Manga,6,May 2016 - Dec 2017,12940,7.13
17,Made in Abyss,62,TV,13,Jul 2017 - Sep 2017,1300823,8.66,39,Manga,?,Oct 2012 -,150446,8.77
18,Tantei Gakuen Q,1062,TV,45,Apr 2003 - Mar 2004,34250,7.73,1362,Manga,22,May 2001 - Jul 2005,4649,7.77
20,Neko Ramen,8212,ONA,13,Dec 2006 - Mar 2007,3856,6.14,5334,Manga,6,2004 - Mar 2012,870,7.24
21,Dragon Half,4673,OVA,2,Mar 1993 - May 1993,20943,6.84,4063,Manga,7,Jan 1988 - Apr 1995,3857,7.35
22,Kidou Senshi Gundam: Tekketsu no Orphans,527,TV,25,Oct 2015 - Mar 2016,230822,8.05,2040,Manga,3,Oct 2015 - Oct 2016,874,7.62
23,Anima Yell!,4513,TV,12,Oct 2018 - Dec 2018,42374,6.88,11599,Manga,5,Feb 2016 - Aug 2020,924,6.78
24,Vampire Knight,4507,TV,13,Apr 2008 - Jul 2008,587777,6.88,3346,Manga,19,Nov 2004 - May 2013,95006,7.43
25,Ookami-san to Shichinin no Nakama-tachi,3227,TV,12,Jul 2010 - Sep 2010,272473,7.17,4937,Manga,4,Feb 2010 - Aug 2012,2683,7.27
26,Ichigeki Sacchuu!! Hoihoi-san,8734,OVA,1,Sep 2004 - Sep 2004,8053,6.03,5332,Manga,1,Sep 2004 - Sep 2004,1072,7.24
27,Roll,12532,ONA,1,Aug 2014 - Aug 2014,459,4.55,16014,One-shot,?,2007 - 2007,711,6.36
28,Hachimitsu to Clover,594,TV,24,Apr 2005 - Sep 2005,260865,8.0,325,Manga,10,Apr 2000 - Jul 2006,22461,8.28
29,Choujin Locke,7243,Movie,1,Mar 1984 - Mar 1984,3684,6.33,2957,Manga,38,1979 - 1989,633,7.48
30,Beelzebub,797,TV,60,Jan 2011 - Mar 2012,579794,7.86,505,Manga,28,Feb 2009 - Mar 2015,113472,8.14
32,Kakumeiki Valvrave,3416,TV,12,Apr 2013 - Jun 2013,165525,7.13,16026,Manga,1,Jun 2013 - Dec 2013,627,6.36
33,Mamotte Shugogetten!,5777,TV,22,Oct 1998 - Apr 1999,8532,6.62,11674,Manga,11,Apr 1996 - Jan 2000,1368,6.77
34,Tekken Chinmi,2993,TV,20,Jul 1988 - Dec 1988,4510,7.21,1625,Manga,35,Apr 1984 - Apr 1997,1767,7.7
36,Monster Musume no Oishasan,6232,TV,12,Jul 2020 - Sep 2020,204899,6.53,10973,Manga,2,Feb 2018 - Dec 2019,3208,6.83
37,Koi to Uso,6430,TV,12,Jul 2017 - Sep 2017,402370,6.5,10411,Manga,13,Aug 2014 - Jan 2022,53408,6.87
38,Tsurikichi Sanpei,3387,TV,109,Apr 1980 - Jun 1982,5030,7.14,2153,Manga,65,1973 - 1983,539,7.61
39,GA: Geijutsuka Art Design Class,3351,TV,12,Jul 2009 - Sep 2009,19894,7.14,1806,Manga,7,Jul 2004 - Dec 2015,1789,7.67
40,Tensei Oujo to Tensai Reijou no Mahou Kakumei,1690,TV,12,Jan 2023 - Mar 2023,157566,7.51,1651,Manga,?,Jul 2020 -,9057,7.7
42,Rainbow: Nisha Rokubou no Shichinin,134,TV,26,Apr 2010 - Sep 2010,381781,8.48,156,Manga,22,Nov 2002 - Jan 2010,32043,8.47
43,BNA,2283,TV,12,Apr 2020 - Jun 2020,348670,7.35,8856,Manga,1,May 2020 - Sep 2022,1297,6.98
44,Boku dake ga Inai Machi,234,TV,12,Jan 2016 - Mar 2016,2002023,8.31,233,Manga,9,Jun 2012 - Nov 2016,84703,8.37
45,Senpai ga Uzai Kouhai no Hanashi,1380,TV,12,Oct 2021 - Dec 2021,309560,7.61,1920,Manga,?,Mar 2018 -,32434,7.65
46,Inu ni Nattara Suki na Hito ni Hirowareta.,11846,TV,12,Jan 2023 - Mar 2023,100718,5.11,17401,Manga,?,Aug 2020 -,8786,5.94
47,Mugen no Ryvius,1986,TV,26,Oct 1999 - Mar 2000,43227,7.43,15182,Manga,2,Dec 1999 - Sep 2000,438,6.47
48,Tales of the Abyss,2619,TV,26,Oct 2008 - Mar 2009,121160,7.28,3353,Manga,8,Oct 2005 - Nov 2010,2712,7.43
49,Deltora Quest,3680,TV,65,Jan 2007 - Mar 2008,28515,7.07,7229,Manga,10,Oct 2005 - Dec 2008,828,7.09
50,Adachi to Shimamura,3546,TV,12,Oct 2020 - Dec 2020,181300,7.1,1670,Manga,?,May 2019 -,7126,7.69
52,Adachi to Shimamura,3546,TV,12,Oct 2020 - Dec 2020,181300,7.1,6735,Manga,3,Apr 2016 - Sep 2017,5896,7.12
53,Dai Mahou Touge,4270,OVA,4,Mar 2006 - Mar 2007,31946,6.93,8957,Manga,4,Feb 2001 - Jan 2007,689,6.97
54,Somali to Mori no Kamisama,886,TV,12,Jan 2020 - Mar 2020,278240,7.82,1597,Manga,6,Apr 2015 - Oct 2019,17090,7.71
55,Hakkenden: Touhou Hakken Ibun,2144,TV,13,Jan 2013 - Mar 2013,112464,7.39,935,Manga,?,Jun 2005 -,4205,7.91
56,Nobunagun,5495,TV,13,Jan 2014 - Mar 2014,64540,6.67,12242,Manga,6,May 2011 - Aug 2015,960,6.73
58,Inukami!,2899,TV,26,Apr 2006 - Sep 2006,68660,7.23,4557,Manga,6,Oct 2005 - Feb 2008,3035,7.31
60,Black Bullet,3618,TV,13,Apr 2014 - Jul 2014,897782,7.09,5871,Manga,4,Aug 2012 - Jun 2014,15448,7.19
62,Choujin Koukousei-tachi wa Isekai demo Yoyuu de Ikinuku you desu!,7099,TV,12,Oct 2019 - Dec 2019,254791,6.36,12654,Manga,13,May 2016 - Oct 2021,11367,6.7
63,Fight Ippatsu! Juuden-chan!!,5833,TV,12,Jun 2009 - Sep 2009,34459,6.61,12515,Manga,10,Nov 2005 - Oct 2013,1535,6.71
64,Turn A Gundam,1025,TV,50,Apr 1999 - Apr 2000,46059,7.75,4425,Manga,5,Jun 1999 - Mar 2002,528,7.32
66,Jijou wo Shiranai Tenkousei ga Guigui Kuru.,1560,TV,13,Apr 2023 - Jul 2023,50878,7.55,2019,Manga,?,May 2018 -,6508,7.63
67,Ikebukuro West Gate Park,4544,TV,12,Oct 2020 - Dec 2020,115926,6.87,9843,Manga,4,Jul 2001 - Nov 2004,1091,6.9
68,The Big O,1639,TV,26,Oct 1999 - Mar 2003,92854,7.53,6315,Manga,6,Jun 1999 - Sep 2001,1539,7.16
69,Fate/Zero,265,TV,13,Oct 2011 - Dec 2011,1452014,8.28,1393,Manga,14,Dec 2010 - Jun 2017,7365,7.76
72,Kishuku Gakkou no Juliet,1872,TV,12,Oct 2018 - Dec 2018,352845,7.45,3506,One-shot,?,Dec 2014 - Dec 2014,6904,7.41
73,Kishuku Gakkou no Juliet,1872,TV,12,Oct 2018 - Dec 2018,352845,7.45,358,Manga,16,Jul 2015 - Sep 2019,55956,8.24
74,Nabari no Ou,2760,TV,26,Apr 2008 - Sep 2008,163745,7.26,854,Manga,14,May 2004 - Aug 2010,22039,7.94
75,Witch Craft Works,4022,TV,12,Jan 2014 - Mar 2014,325627,7.0,4125,Manga,17,Mar 2010 - Feb 2022,22208,7.35
76,Okusama ga Seitokaichou!,5954,TV,12,Jul 2015 - Sep 2015,289173,6.58,7905,Manga,13,Aug 2011 - Aug 2018,19770,7.04
77,Nyan Koi!,3430,TV,12,Oct 2009 - Dec 2009,259843,7.13,1910,Manga,6,Aug 2007 - Jan 2015,9553,7.65
78,Ankoku Shinwa,12684,OVA,2,Jan 1990 - Feb 1990,3067,4.11,17074,Manga,1,May 1976 - Jun 1976,666,6.11
79,Majin Tantei Nougami Neuro,1413,TV,25,Oct 2007 - Mar 2008,66188,7.59,547,Manga,23,Feb 2005 - Apr 2009,19515,8.11
80,Uzaki-chan wa Asobitai!,4020,TV,12,Jul 2020 - Sep 2020,451727,7.0,4640,Manga,?,Dec 2017 -,40778,7.3
81,Kashimashi: Girl Meets Girl,5716,TV,12,Jan 2006 - Mar 2006,49472,6.63,4588,Manga,5,May 2004 - Apr 2007,8431,7.3
82,IDOLiSH7,1118,TV,17,Jan 2018 - May 2018,66804,7.71,6887,Manga,7,Jul 2015 - Jul 2019,1092,7.11
83,Tokyo Mew Mew,3667,TV,52,Apr 2002 - Mar 2003,149518,7.08,9148,Manga,7,Aug 2000 - Dec 2002,26029,6.95
85,Chrome Shelled Regios,2633,TV,24,Jan 2009 - Jun 2009,208255,7.28,7700,Manga,3,Nov 2006 - Sep 2011,2462,7.06
86,Golden Kamuy,796,TV,12,Apr 2018 - Jun 2018,364560,7.87,70,Manga,31,Aug 2014 - Apr 2022,84796,8.63
87,Great Pretender,310,TV,23,Jul 2020 - Dec 2020,619045,8.23,4095,Manga,1,Jun 2020 - Aug 2020,2592,7.35
88,White Album 2,1354,TV,13,Oct 2013 - Dec 2013,239772,7.62,3627,Manga,4,Jul 2013 - Oct 2015,1202,7.4
89,Hibike! Euphonium,596,TV,13,Apr 2015 - Jul 2015,439152,8.0,1825,Novel,10,Dec 2013 - Jun 2019,1113,7.66
90,Clamp Gakuen Tanteidan,4671,TV,26,May 1997 - Oct 1997,14029,6.84,10331,Manga,3,Jan 1992 - Oct 1993,5353,6.87
91,Asa made Jugyou Chu!,8633,OVA,1,Jun 2012 - Jun 2012,54190,6.05,15947,Manga,4,Jun 2008 - Nov 2015,13918,6.37
92,Dumbbell Nan Kilo Moteru?,2796,TV,12,Jul 2019 - Sep 2019,376648,7.25,4918,Manga,?,Aug 2016 -,16814,7.28
93,Slayers Evolution-R,2179,TV,13,Jan 2009 - Apr 2009,31801,7.38,5768,Manga,1,Jun 2009 - Jun 2009,886,7.2
94,Doupo Cangqiong,2944,ONA,12,Jan 2017 - Apr 2017,12074,7.22,718,Manhua,?,Jun 2012 -,21754,8.01
95,Level E,2058,TV,13,Jan 2011 - Apr 2011,92844,7.41,3350,Manga,3,Sep 1995 - Dec 1996,7927,7.43
96,Mars,8869,OVA,2,Jun 1994 - Aug 1994,646,6.0,7855,Manga,5,1976 - 1977,944,7.05
97,Mars,8869,OVA,2,Jun 1994 - Aug 1994,646,6.0,266,Manga,15,Jan 1996 - Nov 2000,33447,8.33
98,Clannad,589,TV,23,Oct 2007 - Mar 2008,1374854,8.0,992,Manga,8,May 2005 - Apr 2009,11082,7.89
99,Haikyuu!!,151,TV,25,Apr 2014 - Sep 2014,1877776,8.44,28,Manga,45,Feb 2012 - Jul 2020,206090,8.84
100,Haikyuu!!,151,TV,25,Apr 2014 - Sep 2014,1877776,8.44,3417,One-shot,?,Apr 2011 - Apr 2011,11388,7.42
102,Hourou Musuko,1148,TV,11,Jan 2011 - Apr 2011,126808,7.7,375,Manga,15,Nov 2002 - Jul 2013,28119,8.23
104,Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka?,1226,TV,12,Apr 2017 - Jun 2017,382799,7.67,3508,Manga,4,Jul 2016 - May 2018,3522,7.41
105,Detroit Metal City,456,OVA,12,Aug 2008 - Oct 2008,205966,8.1,678,Manga,10,Apr 2005 - Apr 2010,14382,8.03
106,Kiteretsu Daihyakka,4759,TV,331,Mar 1988 - Jun 1996,5671,6.82,8707,Manga,3,1974 - 1977,299,6.99
107,Riding Bean,3724,OVA,1,Feb 1989 - Feb 1989,21441,7.06,13624,Manga,?,Sep 1988 - Feb 1989,811,6.62
108,Ahiru no Sora,2704,TV,50,Oct 2019 - Sep 2020,190841,7.27,2542,Manga,?,Dec 2003 -,8896,7.54
109,Isekai Maou to Shoukan Shoujo no Dorei Majutsu,4598,TV,12,Jul 2018 - Sep 2018,690695,6.86,8603,Manga,?,Jun 2015 -,30931,6.99
111,Fumikiri Jikan,7111,TV,12,Apr 2018 - Jun 2018,41596,6.36,12269,Manga,8,May 2016 - Sep 2021,1340,6.72
112,Peace Maker Kurogane,2528,TV,24,Oct 2003 - Mar 2004,56783,7.3,1524,Manga,?,Feb 2002 -,5214,7.73
113,Sexy Commando Gaiden: Sugoi yo!! Masaru-san,1350,TV,48,Jan 1998 - Apr 1998,12505,7.62,2448,Manga,7,Nov 1995 - Sep 1997,1579,7.56
114,Grappler Baki,4824,OVA,1,Aug 1994 - Aug 1994,18845,6.81,1534,Manga,42,1991 - 1999,23942,7.73
115,Venus Senki,4997,Movie,1,Mar 1989 - Mar 1989,14408,6.77,9128,Manga,4,Sep 1986 - Apr 1990,890,6.96
116,Kuragehime,444,TV,11,Oct 2010 - Dec 2010,228266,8.11,345,Manga,17,Oct 2008 - Aug 2017,39346,8.26
117,Kakushigoto,610,TV,12,Apr 2020 - Jun 2020,316795,7.99,9212,Manga,?,May 2018 -,2968,6.95
118,Kakushigoto,610,TV,12,Apr 2020 - Jun 2020,316795,7.99,1783,Manga,12,Dec 2015 - Jul 2020,9007,7.67
119,Kakushigoto,610,TV,12,Apr 2020 - Jun 2020,316795,7.99,5608,Novel,1,Aug 2015 - May 2016,619,7.22
120,Mugen no Juunin,4765,TV,13,Jul 2008 - Dec 2008,67293,6.82,177,Manga,30,Jun 1993 - Dec 2012,76888,8.43
122,Yuusha ni Narenakatta Ore wa Shibushibu Shuushoku wo Ketsui Shimashita.,4791,TV,12,Oct 2013 - Dec 2013,298104,6.82,9274,Manga,4,Feb 2013 - Jun 2014,2550,6.95
123,Eyeshield 21,710,TV,145,Apr 2005 - Mar 2008,178082,7.91,155,Manga,37,Jul 2002 - Jun 2009,73795,8.47
124,Eyeshield 21,710,TV,145,Apr 2005 - Mar 2008,178082,7.91,4776,Manga,?,Mar 2002 - Mar 2002,1441,7.29
125,Hiatari Ryoukou!,4044,TV,48,Mar 1987 - Mar 1988,5152,7.0,6527,Manga,5,Dec 1979 - 1981,1314,7.14
127,Bobobo-bo Bo-bobo,1791,TV,76,Nov 2003 - Oct 2005,90637,7.48,3031,Manga,21,Feb 2001 - Dec 2005,9718,7.47
128,Mo Dao Zu Shi,156,ONA,15,Jul 2018 - Oct 2018,218868,8.43,145,Novel,4,Dec 2016 - Dec 2016,4161,8.49
129,Mo Dao Zu Shi,156,ONA,15,Jul 2018 - Oct 2018,218868,8.43,172,Manhua,?,Dec 2017 - Oct 2022,10432,8.44
130,Mahou Shoujo Lyrical Nanoha ViVid,5167,TV,12,Apr 2015 - Jun 2015,25620,6.74,2007,Manga,20,May 2009 - Oct 2017,3479,7.63
131,Dororon Enma-kun,8190,TV,25,Oct 1973 - Mar 1974,3988,6.14,16666,Manga,3,Sep 1973 - Mar 1974,1050,6.23
133,Itsuka Tenma no Kuro Usagi,6308,TV,12,Jul 2011 - Sep 2011,130312,6.52,7772,Manga,6,Oct 2009 - Jul 2012,3506,7.05
134,"Sentouin, Hakenshimasu!",3295,TV,12,Apr 2021 - Jun 2021,352363,7.16,4088,Manga,?,Mar 2018 -,11838,7.35
136,Kaiketsu Jouki Tanteidan,5771,TV,26,Oct 1998 - Mar 1999,4707,6.62,11847,Manga,8,1994 - 2000,560,6.76
137,Digimon Tamers,1317,TV,51,Apr 2001 - Mar 2002,192513,7.63,8426,Manhua,4,2002 - 2004,1544,7.01
138,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,1547,TV,13,Apr 2015 - Jun 2015,1469755,7.55,2120,Manga,10,Aug 2013 - Sep 2018,37852,7.61
140,Panty & Stocking with Garterbelt,1093,TV,13,Oct 2010 - Dec 2010,377624,7.72,13611,Manga,1,Aug 2010 - Jun 2011,4057,6.62
141,Panty & Stocking with Garterbelt,1093,TV,13,Oct 2010 - Dec 2010,377624,7.72,16321,Manga,?,May 2011 - May 2011,1180,6.31
142,Bungou Stray Dogs,877,TV,12,Apr 2016 - Jun 2016,1307994,7.82,130,Manga,?,Dec 2012 -,83308,8.51
144,Valkyrie Drive: Mermaid,8626,TV,12,Oct 2015 - Dec 2015,137066,6.05,11365,Manga,2,Oct 2015 - Aug 2016,1161,6.8
145,Inou-Battle wa Nichijou-kei no Naka de,3761,TV,12,Oct 2014 - Dec 2014,412128,7.06,6438,Manga,4,Jul 2013 - Feb 2015,2306,7.15
147,Midara na Ao-chan wa Benkyou ga Dekinai,5263,TV,12,Apr 2019 - Jun 2019,263904,6.72,7443,Manga,8,Oct 2015 - Dec 2018,10914,7.07
149,Ensemble Stars!,4209,TV,24,Jul 2019 - Dec 2019,46155,6.95,4778,Manga,4,Aug 2015 - Dec 2016,1444,7.29
150,IS: Infinite Stratos,5713,TV,12,Jan 2011 - Apr 2011,623124,6.63,7367,Manga,8,May 2013 - Feb 2020,2267,7.08
151,IS: Infinite Stratos,5713,TV,12,Jan 2011 - Apr 2011,623124,6.63,9774,Manga,5,May 2010 - Jul 2012,6543,6.91
153,No Game No Life,482,TV,12,Apr 2014 - Jun 2014,2312862,8.08,905,Manga,2,Jan 2013 - Sep 2017,29302,7.92
155,Otogizoushi,4355,TV,26,Jul 2004 - Mar 2005,17492,6.92,10563,Manga,2,Jun 2004 - Mar 2005,745,6.85
156,Nobunaga-sensei no Osanazuma,11408,TV,12,Apr 2019 - Jun 2019,80211,5.31,14262,Manga,5,May 2017 - Aug 2019,945,6.56
157,Mahoutsukai ni Taisetsu na Koto: Natsu no Sora,2828,TV,12,Jul 2008 - Sep 2008,26684,7.24,7522,Manga,2,Feb 2008 - Nov 2008,883,7.07
158,Nyoro-n Churuya-san,6454,ONA,13,Feb 2009 - May 2009,29766,6.49,7340,Manga,1,Nov 2008 - Oct 2009,679,7.08
160,Isekai Yakkyoku,2498,TV,12,Jul 2022 - Sep 2022,181591,7.31,4519,Manga,?,Nov 2016 -,16148,7.31
161,Hanaukyou Maid-tai,5989,TV,12,Apr 2001 - Jun 2001,31591,6.58,9107,Manga,14,Mar 1999 - Aug 2006,1458,6.96
162,Saiyuuki,7789,Movie,1,Aug 1960 - Aug 1960,3222,6.22,712,Manga,9,Feb 1997 - Jan 2002,17145,8.01
163,Doraemon,2203,TV,26,Apr 1973 - Sep 1973,20272,7.37,14270,One-shot,?,Dec 1995 - Dec 1995,1653,6.56
164,Doraemon,2203,TV,26,Apr 1973 - Sep 1973,20272,7.37,163,Manga,45,Dec 1969 - 1996,13748,8.45
165,Another,1789,TV,12,Jan 2012 - Mar 2012,1610022,7.48,1077,Novel,1,Oct 2009 - Oct 2009,12832,7.85
166,Another,1789,TV,12,Jan 2012 - Mar 2012,1610022,7.48,2010,Manga,4,Apr 2010 - Dec 2011,63304,7.63
167,Kokuhaku,12785,ONA,1,Aug 2015 - Aug 2015,6745,2.31,13487,Manga,1,Feb 2010 - May 2010,427,6.63
168,Genshiken,1319,TV,12,Oct 2004 - Dec 2004,174474,7.63,373,Manga,21,Apr 2002 - Aug 2016,38857,8.23
169,Fragtime,6130,Movie,1,Nov 2019 - Nov 2019,42959,6.55,7553,Manga,2,Mar 2013 - Sep 2014,13178,7.07
170,Daa! Daa! Daa!,1247,TV,78,Mar 2000 - Feb 2002,24733,7.66,1489,Manga,9,Feb 1998 - Mar 2002,4378,7.74
171,Terra e...,6822,Movie,1,Apr 1980 - Apr 1980,10802,6.42,1613,Manga,5,Dec 1976 - Apr 1980,4101,7.71
172,Choukadou Girl ⅙,8984,TV,12,Apr 2019 - Jun 2019,17166,5.97,7566,Manga,4,Jul 2012 - Nov 2015,657,7.07
173,Hybrid Child,1622,OVA,4,Oct 2014 - Jan 2015,77376,7.53,1247,Manga,1,Jun 2003 - Aug 2004,9995,7.8
174,Captain Tsubasa,2334,TV,128,Oct 1983 - Mar 1986,83439,7.34,2767,Manga,37,Mar 1981 - Apr 1988,6439,7.51
176,Seitokai no Ichizon,2513,TV,12,Oct 2009 - Dec 2009,191272,7.31,3794,Manga,8,Jun 2008 - Dec 2012,2560,7.38
178,Hentai Ouji to Warawanai Neko.,3263,TV,12,Apr 2013 - Jun 2013,440924,7.16,3648,Manga,8,Apr 2011 - Feb 2018,14653,7.4
179,Cardfight!! Vanguard,3918,TV,65,Jan 2011 - Mar 2012,52502,7.02,8204,Manga,12,Nov 2010 - Apr 2017,1123,7.02
180,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,459,TV,24,Apr 2014 - Sep 2014,1153469,8.1,569,Manga,16,Mar 1989 - Apr 1992,92357,8.1
181,Fushigi Yuugi,1366,TV,52,Apr 1995 - Mar 1996,116162,7.61,1991,Manga,18,May 1992 - Jul 1996,22806,7.63
183,Masamune-kun no Revenge,5171,TV,12,Jan 2017 - Mar 2017,829889,6.74,4878,Manga,?,Oct 2012 -,94885,7.28
186,"Gaikotsu Kishi-sama, Tadaima Isekai e Odekakechuu",3208,TV,12,Apr 2022 - Jun 2022,274398,7.17,6740,Manga,?,Feb 2017 -,24792,7.12
187,Sword Art Online Alternative: Gun Gale Online,4016,TV,12,Apr 2018 - Jul 2018,594299,7.0,5063,Manga,4,Oct 2015 - Jan 2021,2603,7.26
189,Cyborg 009,8642,Movie,1,Jul 1966 - Jul 1966,3493,6.05,2143,Manga,15,Jul 1964 - 1979,3398,7.61
190,Chocolate Underground,8429,ONA,13,Jun 2008 - Sep 2008,12505,6.09,11551,Manga,1,Jan 2008 - Jun 2008,665,6.78
191,Golden Boy,539,OVA,6,Oct 1995 - Jun 1996,376276,8.04,7673,Manga,10,Jun 1993 - Jan 1998,19129,7.06
192,Arte,3090,TV,12,Apr 2020 - Jun 2020,124757,7.19,923,Manga,?,Oct 2013 -,12145,7.91
193,Kaichuu!,9770,ONA,4,Jul 2010 - Oct 2011,9634,5.79,7883,Manga,12,Nov 2009 - 2012,1892,7.04
194,Babel Nisei,7402,TV,39,Jan 1973 - Sep 1973,1956,6.3,8998,Manga,12,Jul 1971 - Nov 1973,766,6.97
195,Uchi no Shishou wa Shippo ga Nai,5291,TV,13,Sep 2022 - Dec 2022,22875,6.71,4490,Manga,?,Jan 2019 -,2043,7.31
196,Dash! Kappei,3028,TV,65,Oct 1981 - Dec 1982,5343,7.2,4284,Manga,17,Oct 1979 - Oct 1982,423,7.33
197,Kage kara Mamoru!,5990,TV,12,Jan 2006 - Mar 2006,25963,6.58,7685,Manga,8,Oct 2005 - Dec 2022,891,7.06
198,Namiuchigiwa no Muromi-san,4350,TV,13,Apr 2013 - Jun 2013,40943,6.92,8698,Manga,11,Jan 2009 - May 2014,1238,6.99
199,Saber Marionette J,2228,TV,25,Oct 1996 - Mar 1997,31851,7.37,13758,Manga,5,Sep 1996 - Oct 1999,1774,6.6
200,Hyakko,2864,TV,13,Oct 2008 - Dec 2008,44160,7.24,2274,Manga,?,2006 -,1968,7.58
201,Nurse Angel Ririka SOS,2658,TV,35,Jul 1995 - Mar 1996,4543,7.28,2170,Manga,4,Jan 1995 - Jun 1996,350,7.6
202,Aku no Hana,3342,TV,13,Apr 2013 - Jun 2013,215676,7.14,398,Manga,11,Sep 2009 - May 2014,148343,8.21
203,"Shijou Saikyou no Daimaou, Murabito A ni Tensei suru",7531,TV,12,Apr 2022 - Jun 2022,248798,6.28,15827,Manga,7,Feb 2019 - Jul 2022,7154,6.39
205,Mikakunin de Shinkoukei,2221,TV,12,Jan 2014 - Mar 2014,384000,7.37,2283,Manga,?,Apr 2009 -,8506,7.58
206,ChäoS;Child,7385,TV,12,Jan 2017 - Mar 2017,129461,6.31,7438,Manga,4,Dec 2015 - Feb 2018,958,7.07
207,Hyper Police,3684,TV,25,Apr 1997 - Sep 1997,10844,7.07,4966,Manga,10,Feb 1993 - Jan 2004,1097,7.27
208,Yokohama Kaidashi Kikou,2132,OVA,2,May 1998 - Dec 1998,38352,7.39,53,Manga,14,Apr 1994 - Feb 2006,69851,8.68
210,86,264,TV,11,Apr 2021 - Jun 2021,693242,8.28,2187,Manga,?,Feb 2018 -,6767,7.6
212,Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta...,1827,TV,12,Apr 2020 - Jun 2020,422854,7.47,1357,Manga,?,Aug 2017 -,23970,7.77
213,Oshi ga Budoukan Ittekuretara Shinu,1990,TV,12,Jan 2020 - Mar 2020,42653,7.43,6404,Manga,?,Jun 2015 -,1489,7.15
214,Renai Flops,5334,TV,12,Oct 2022 - Dec 2022,116770,6.71,14916,Manga,?,Jun 2022 -,1443,6.5
215,Carole & Tuesday,793,TV,24,Apr 2019 - Oct 2019,316387,7.87,7798,Manga,3,May 2019 - Jul 2020,1723,7.05
216,Earthian,8832,OVA,4,Jul 1989 - Dec 1996,10608,6.01,5692,Manga,5,Apr 1988 - Jul 1994,2035,7.21
217,Heat Guy J,3487,TV,25,Oct 2002 - Mar 2003,18424,7.12,16394,Manga,1,Aug 2002 - Feb 2003,623,6.29
218,Shin Megami Tensei Devil Children,3460,TV,50,Oct 2000 - Sep 2001,2862,7.12,8440,Manga,5,Mar 2001 -,523,7.01
220,Mamahaha no Tsurego ga Motokano datta,5050,TV,12,Jul 2022 - Sep 2022,255487,6.76,10259,Manga,?,May 2019 -,8504,6.88
221,Norn9: Norn+Nonet,6097,TV,12,Jan 2016 - Mar 2016,86853,6.55,15239,Manga,1,May 2013 - Dec 2013,1226,6.46
222,Uchuu Kyoudai,131,TV,99,Apr 2012 - Mar 2014,187559,8.49,37,Manga,?,Dec 2007 -,32991,8.78
223,Koko wa Green Wood,4969,OVA,6,Nov 1991 - Mar 1993,10174,6.78,7729,Manga,11,1986 - 1991,1526,7.05
224,Princess Princess,4110,TV,12,Apr 2006 - Jun 2006,63353,6.98,2531,Manga,5,Aug 2002 - Apr 2006,7643,7.54
